GivenName,Surname,Initials,DisplayName,Name,SamAccountName,AccountPassword
Kristina,Chung,H,Kristina H. Chung,"Chung, Kristina H.",KHChung,pass@word1
Paige,Chen,H,Paige H. Chen,"Chen, Paige H.",PHChen,pass@word1
Sherri,Melton,T,Sherri T. Melton,"Melton, Sherri T.",STMelton,pass@word1
Gretchen,Hill,Y,Gretchen Y. Hill,"Hill, Gretchen Y.",GYHill,pass@word1
Karen,Puckett,U,Karen U. Puckett,"Puckett, Karen U.",KUPuckett,pass@word1
Patrick,Song,O,Patrick O. Song,"Song, Patrick O.",POSong,pass@word1
Elsie,Hamilton,A,Elsie A. Hamilton,"Hamilton, Elsie A.",EAHamilton,pass@word1
Hazel,Bender,E,Hazel E. Bender,"Bender, Hazel E.",HEBender,pass@word1
Malcolm,Wagner,A,Malcolm A. Wagner,"Wagner, Malcolm A.",MAWagner,pass@word1
Dolores,McLaughlin,C,Dolores C. McLaughlin,"McLaughlin, Dolores C.",DCMcLaughlin,pass@word1
Francis,McNamara,C,Francis C. McNamara,"McNamara, Francis C.",FCMcNamara,pass@word1
Sandy,Raynor,W,Sandy W. Raynor,"Raynor, Sandy W.",SWRaynor,pass@word1
Marion,Moon,O,Marion O. Moon,"Moon, Marion O.",MOMoon,pass@word1
Beth,Woodard,F,Beth F. Woodard,"Woodard, Beth F.",BFWoodard,pass@word1
Julia,Desai,G,Julia G. Desai,"Desai, Julia G.",JGDesai,pass@word1
Jerome,Wallace,I,Jerome I. Wallace,"Wallace, Jerome I.",JIWallace,pass@word1
Neal,Lawrence,F,Neal F. Lawrence,"Lawrence, Neal F.",NFLawrence,pass@word1
Jean,Griffin,S,Jean S. Griffin,"Griffin, Jean S.",JSGriffin,pass@word1
Kristine,Dougherty,K,Kristine K. Dougherty,"Dougherty, Kristine K.",KKDougherty,pass@word1
